   5.92872,  11.98371,  10.56313,       nan,       nan,       nan,       nan,       nan,       nan,       nan
   9.87762,   8.51237,   6.84294,   7.23425,   4.16667,       nan,       nan,       nan,       nan,       nan
   7.43717,   6.55871,   5.24885,   4.58783,   2.49198,   1.06324,   0.26774,       nan,       nan,       nan
   5.76519,   6.18019,   5.42959,   4.67546,   3.66801,   3.09568,   3.08363,   4.01020,   4.34452,   3.97776
       nan,   0.00000,   4.06977,   3.60793,   3.14156,   2.61754,   2.65500,   3.02145,   3.22730,   3.78808
       nan,       nan,   1.58730,   3.20727,   2.14702,   1.35880,   1.32149,   1.37998,   1.55225,   2.59711
       nan,       nan,   0.00000,   2.70499,   1.95781,   0.92740,   0.72419,   0.78306,   0.74365,   1.62567
       nan,       nan,   0.00000,   3.89610,   2.28270,   0.69012,   0.45493,   0.48272,   0.41111,   0.97645
       nan,       nan,       nan,   6.12245,   1.65017,   0.54164,   0.25580,   0.32129,   0.24573,   0.57840
       nan,       nan,       nan,   0.00000,   3.44828,   0.91278,   0.18837,   0.16907,   0.11215,   0.32333
       nan,       nan,       nan,   0.00000,   4.16667,   0.55710,   0.08120,   0.16984,   0.05287,   0.16224
       nan,       nan,       nan,   0.00000,   0.00000,   0.70922,   0.08613,   0.04789,   0.05072,   0.07860
       nan,       nan,       nan,   0.00000,   0.00000,   0.00000,   0.08741,   0.00000,   0.06017,   0.04286
       nan,       nan,       nan,       nan,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.02267
       nan,       nan,       nan,       nan,       nan,   0.00000,   0.00000,   0.00000,   0.00000,   0.00235
